METHOD;SALT;ROUNDS;PASSWORD;HASH;CMD
sha-256;7cALI4kC9y;1000;YaRFXE0lTljWz76ZxQKcW2yMZPNWCefZjNEJKvi/+wa2DXOo9aI9/igraTz6NwsiLcONyw3Ue;$5$rounds=1000$7cALI4kC9y$9hNFS7D3ddtS1R/qSUWCEt5uIk9jMF.9FxSZQ2XnWs7;mkpasswd YaRFXE0lTljWz76ZxQKcW2yMZPNWCefZjNEJKvi/+wa2DXOo9aI9/igraTz6NwsiLcONyw3Ue -m sha-256 -S 7cALI4kC9y -R 1000
sha-256;oxQFUfBGCZ;5000;OGP24c98HGZQ2dhE73GxuyRN8te7Qq3DifNL562JGYFdL1Tr7WELxiHwqrr6JwRKRb5ewss3/;$5$rounds=5000$oxQFUfBGCZ$fReGCCfDaZiBDM9.7wsDpuySTBemtlWsMIlfdLbaB5.;mkpasswd OGP24c98HGZQ2dhE73GxuyRN8te7Qq3DifNL562JGYFdL1Tr7WELxiHwqrr6JwRKRb5ewss3/ -m sha-256 -S oxQFUfBGCZ -R 5000
sha-256;D1qYpXzC2L;6666;fQWTZrQo1A0QmoNN9dhtMunn4r6IEr66ap72cvd7me9EEsJqDx1IPLVphpVtfc2VQSQNR4pIb;$5$rounds=6666$D1qYpXzC2L$ln0XP.kNswBEMTBnOOdd9UBm8aJoikZgQSzYB1IZ.y5;mkpasswd fQWTZrQo1A0QmoNN9dhtMunn4r6IEr66ap72cvd7me9EEsJqDx1IPLVphpVtfc2VQSQNR4pIb -m sha-256 -S D1qYpXzC2L -R 6666
sha-256;7hVyojT5AL;99999;G6ybzPTBV6hFc0eph8IETcAyhAEN4HIsQp6IZqn+o686oKPqz/cu4hhZOE4zpkqK9hrxcC6hf;$5$rounds=99999$7hVyojT5AL$CW8BUocwzqGtmt8ch/PihzDZ.Qkc6WLbLacq1PL7vqB;mkpasswd G6ybzPTBV6hFc0eph8IETcAyhAEN4HIsQp6IZqn+o686oKPqz/cu4hhZOE4zpkqK9hrxcC6hf -m sha-256 -S 7hVyojT5AL -R 99999
sha-256;AJWvVpjCigZ;;q2o24/mEzT+KlCr2HppPT3VUI9+onE9V1BscwYK1TiQmTI3atQYzhRfj5pMMmv9MWM2ibs01/;$5$AJWvVpjCigZ$pb3aHXeZ0w9MaAV0P3YphFkM8Y1dBzPDYR9nLLlEYbA;mkpasswd q2o24/mEzT+KlCr2HppPT3VUI9+onE9V1BscwYK1TiQmTI3atQYzhRfj5pMMmv9MWM2ibs01/ -m sha-256 -S AJWvVpjCigZ
sha-256;f5aVpwd4YdE;1000;WSyf6G13zx4emh8IDVuaz3GSsk94IZCeRxqeeF1cmlkXW/5gRF2vyn/i5naBGT7pNpIxfqctq;$5$rounds=1000$f5aVpwd4YdE$A7eszwQE3g0vN1q4bgRa54beyRatft9jTcBvienn5Q2;mkpasswd WSyf6G13zx4emh8IDVuaz3GSsk94IZCeRxqeeF1cmlkXW/5gRF2vyn/i5naBGT7pNpIxfqctq -m sha-256 -S f5aVpwd4YdE -R 1000
sha-256;mcv/v3I/Vhq;5000;O0Kwgcb6EJTV+CKfKLHSZGHMNj8k7wedwjK/c3KwQkwH3sAewNQCgeJjRlbP3pCnV084ZM2Gg;$5$rounds=5000$mcv/v3I/Vhq$Qes1JVCPzazvb6XE/qQtVvgcAfM3CISqokaLM2bmeA5;mkpasswd O0Kwgcb6EJTV+CKfKLHSZGHMNj8k7wedwjK/c3KwQkwH3sAewNQCgeJjRlbP3pCnV084ZM2Gg -m sha-256 -S mcv/v3I/Vhq -R 5000
sha-256;ID.2vLCPBM6;6666;a0HOvW6J8EDTB5o96IYX3Rik2/6ilPRjcKlTrCrlBKZ9CX35SZMH8XHbAmnnzlRAtKRdxtce9;$5$rounds=6666$ID.2vLCPBM6$6/rL6Luy7EAR/tJjl1iZPSm1qn9Z26qdgYAc2cwHY8C;mkpasswd a0HOvW6J8EDTB5o96IYX3Rik2/6ilPRjcKlTrCrlBKZ9CX35SZMH8XHbAmnnzlRAtKRdxtce9 -m sha-256 -S ID.2vLCPBM6 -R 6666
sha-256;WIhphHnxaq5;99999;jdEtwqRUi8O3pQNSk9a2QlSnWJ15UTjsHXj81ihGTvEGzBHuk48XQ2B7VkxgDCVTVi5CmG3Ad;$5$rounds=99999$WIhphHnxaq5$mArXjpsQcRlNI.um.dzzRh.38ihQ8lHIUjGTMBqyTIC;mkpasswd jdEtwqRUi8O3pQNSk9a2QlSnWJ15UTjsHXj81ihGTvEGzBHuk48XQ2B7VkxgDCVTVi5CmG3Ad -m sha-256 -S WIhphHnxaq5 -R 99999
sha-256;VGxmPyO/m0qc;;rlPmRyjFBTtB3lL5i48vfeXyi3h8T0HO1HUuLzeNQp7AGl2xT2HijfQT0ivMQ/pRoirqZMELd;$5$VGxmPyO/m0qc$8u4Il8MpiVIHmhtqVGmPoRodsHVkwG2Kd32F/qBVjH3;mkpasswd rlPmRyjFBTtB3lL5i48vfeXyi3h8T0HO1HUuLzeNQp7AGl2xT2HijfQT0ivMQ/pRoirqZMELd -m sha-256 -S VGxmPyO/m0qc
sha-256;qGk1KcuBjWWi;1000;tiGanQVgVCZkFIXZebF0h/BplvyPOrLQbF5Z8WzJEKdqcCIUpHuT1pexrQ3586IfOk4bZUPEp;$5$rounds=1000$qGk1KcuBjWWi$z1xvPdxwe/fMkY/ngPGNjwuMNVPoob1K.VJN0RWm8yD;mkpasswd tiGanQVgVCZkFIXZebF0h/BplvyPOrLQbF5Z8WzJEKdqcCIUpHuT1pexrQ3586IfOk4bZUPEp -m sha-256 -S qGk1KcuBjWWi -R 1000
sha-256;Q1L2ZRH7sD2Q;5000;9mpAdagdIeefLwh3pydBEcIjyeUA7S6U23v9gEK5YWOiFy6dV4XDuzWaOa2qf8zjhufIoQv7m;$5$rounds=5000$Q1L2ZRH7sD2Q$zAFOVtLsooiaKm41A8cybD1qq9u8g1VjlSZcz/LjhlD;mkpasswd 9mpAdagdIeefLwh3pydBEcIjyeUA7S6U23v9gEK5YWOiFy6dV4XDuzWaOa2qf8zjhufIoQv7m -m sha-256 -S Q1L2ZRH7sD2Q -R 5000
sha-256;HiblFWeMZLH4;6666;y7W3aJdo1r79lQg4FPkT1fa7D6vJysytQrPvcQAqg8WpshjIyiHaj1vFJBS8EUQvKiHvmfZWP;$5$rounds=6666$HiblFWeMZLH4$7KagJ3QKKAxSOkHSWAPHCNRxpzwPYSVoVa/pRbTQxIC;mkpasswd y7W3aJdo1r79lQg4FPkT1fa7D6vJysytQrPvcQAqg8WpshjIyiHaj1vFJBS8EUQvKiHvmfZWP -m sha-256 -S HiblFWeMZLH4 -R 6666
sha-256;jTit8pw6IlDM;99999;N2fHQt23vrJnutDNEjihVIG7anO84a2QAhBt5bFVJI9fqc4DnC7Mex4ZkflUDZHpzf2Bym1wU;$5$rounds=99999$jTit8pw6IlDM$SWx12ki1d0KR499iRfGUnptW4owwE8vSTWG9TVRbxKD;mkpasswd N2fHQt23vrJnutDNEjihVIG7anO84a2QAhBt5bFVJI9fqc4DnC7Mex4ZkflUDZHpzf2Bym1wU -m sha-256 -S jTit8pw6IlDM -R 99999
sha-256;RRrnpAMDy6b0e;;jtoLo2PufB3QCOzMDoJvfq/XosvdpvyCpjl+QLn8FHFx/EzHmwCAGxLxuGFcjuR8GcmY2yhyW;$5$RRrnpAMDy6b0e$JMZtpXh.kLz4QEy3NK6hHAW8zfYvu7LbVM6lgkQ9wA3;mkpasswd jtoLo2PufB3QCOzMDoJvfq/XosvdpvyCpjl+QLn8FHFx/EzHmwCAGxLxuGFcjuR8GcmY2yhyW -m sha-256 -S RRrnpAMDy6b0e
sha-256;Nm.Igo3piMgNM;1000;CXbxFd5KZsuQ1AD5DySTJGwGmHNw/5xv2kNE84Q7U9fDVm3odRpDsgbHKXJucISrLbQdA3Ydb;$5$rounds=1000$Nm.Igo3piMgNM$9CfwDz1dgu1LxTZrRetRQX3oeSccDaTB2qlNffCpMlC;mkpasswd CXbxFd5KZsuQ1AD5DySTJGwGmHNw/5xv2kNE84Q7U9fDVm3odRpDsgbHKXJucISrLbQdA3Ydb -m sha-256 -S Nm.Igo3piMgNM -R 1000
sha-256;zQsxVg/Pv5xpo;5000;Uf8XoFBN0bc+tmqCsp7TFjDzkTFQy6+YrEL7fUiADowPbpeSZamoLHYqD1IcYqEj6DrDCxzBi;$5$rounds=5000$zQsxVg/Pv5xpo$iY.pEtYTdfVL/kdgDGfdCmKYtb/7CrWbBMLuz1G7Bg3;mkpasswd Uf8XoFBN0bc+tmqCsp7TFjDzkTFQy6+YrEL7fUiADowPbpeSZamoLHYqD1IcYqEj6DrDCxzBi -m sha-256 -S zQsxVg/Pv5xpo -R 5000
sha-256;YvCQGWJt/8aXw;6666;8Z2+yvcoE/uy3icXAx+bX7thDnoLYtFV7/0Z2Cqb8KnVZAq1MSWncjpjzxhQQm0Kt3qpRSP94;$5$rounds=6666$YvCQGWJt/8aXw$pfZMwCVCm0ku96WMAW5HEzOnCmOcje409gtHRk.r0f9;mkpasswd 8Z2+yvcoE/uy3icXAx+bX7thDnoLYtFV7/0Z2Cqb8KnVZAq1MSWncjpjzxhQQm0Kt3qpRSP94 -m sha-256 -S YvCQGWJt/8aXw -R 6666
sha-256;zaWnyJ88wAIvL;99999;yGIfgbJJMqpT4bTtMl7HdJ9UkrmiktWAqN6LjYpTIRX7qf9nyu6E+h9iIMV/UmofkC5KQmFuI;$5$rounds=99999$zaWnyJ88wAIvL$ErV7ZxxPTWlI7PV7IGsYyYceJdx5LkRndxE9kVUk5m7;mkpasswd yGIfgbJJMqpT4bTtMl7HdJ9UkrmiktWAqN6LjYpTIRX7qf9nyu6E+h9iIMV/UmofkC5KQmFuI -m sha-256 -S zaWnyJ88wAIvL -R 99999
sha-256;C3F1ADmdLua.vP;;JDXCgeCnXOfOM6lksEP2F0jGhruzPVYPFHQDd0QbV4AagEjHoTbMoEdiENKnZhpXv8sNl/ug2;$5$C3F1ADmdLua.vP$1zl/SUjhV9jOyWmquodqTOs1pCarE99feOR.va8Pa25;mkpasswd JDXCgeCnXOfOM6lksEP2F0jGhruzPVYPFHQDd0QbV4AagEjHoTbMoEdiENKnZhpXv8sNl/ug2 -m sha-256 -S C3F1ADmdLua.vP
sha-256;bQbJxv.pcGgUTS;1000;SUc4//ULox56ZOoN668Uz/62LZimO7LYALm5oTyhoz6GpL4UFH9YG7H4kxfYiBdh7072C46jn;$5$rounds=1000$bQbJxv.pcGgUTS$A4.vH.tz1MgUuafi.uGHpt1Audai8wQljEYMnuZlfW.;mkpasswd SUc4//ULox56ZOoN668Uz/62LZimO7LYALm5oTyhoz6GpL4UFH9YG7H4kxfYiBdh7072C46jn -m sha-256 -S bQbJxv.pcGgUTS -R 1000
sha-256;nArFE5igL1qjmY;5000;VJIflx/YeGNYPvn7uDBW5QqWvZnK/uYPBdVGyZnDoT2jFqo0ywIBR8u0T01fJ4Z/6ROs8P+0A;$5$rounds=5000$nArFE5igL1qjmY$1rYrJPvt9htkf/BjhKBYqb5ja1cPF/yll8XueNmk6b7;mkpasswd VJIflx/YeGNYPvn7uDBW5QqWvZnK/uYPBdVGyZnDoT2jFqo0ywIBR8u0T01fJ4Z/6ROs8P+0A -m sha-256 -S nArFE5igL1qjmY -R 5000
sha-256;m6HF9zPfI8H2h1;6666;SoDxsVmIUWZWSMOj22lw2kfj5G1UB2MBVSgtQXiEgFzp1r49TAMO9t4bRabHsAzH4lk/ldV05;$5$rounds=6666$m6HF9zPfI8H2h1$mBMJZBsaec0ARFl9Es201jEx3sqCagEdaq9ysEX32aC;mkpasswd SoDxsVmIUWZWSMOj22lw2kfj5G1UB2MBVSgtQXiEgFzp1r49TAMO9t4bRabHsAzH4lk/ldV05 -m sha-256 -S m6HF9zPfI8H2h1 -R 6666
sha-256;Wy9Vd0YoF8QONH;99999;B3T2RY5IajuMPM0lkLPHiS6PV5a9jn4cgyEzO+drpQZgkSTGIn0K0nZRpFofRUDCjumhZq+pj;$5$rounds=99999$Wy9Vd0YoF8QONH$IP9CFN0WNwR73lHmFpqMkKTqMsBPaqVmdQfsMn57WG4;mkpasswd B3T2RY5IajuMPM0lkLPHiS6PV5a9jn4cgyEzO+drpQZgkSTGIn0K0nZRpFofRUDCjumhZq+pj -m sha-256 -S Wy9Vd0YoF8QONH -R 99999
sha-256;hQTH3GRWlWzhK4U;;jI3GbaxMGtk068yXdAERq+IsY+454pJJ3G/5h1seSPzPEXyzorzzttmuGgKNMxqunDA/XeXfT;$5$hQTH3GRWlWzhK4U$WKg8Iex8IVllU6MCgqLWrWA6H27Z6x0eHW/sme/Se6/;mkpasswd jI3GbaxMGtk068yXdAERq+IsY+454pJJ3G/5h1seSPzPEXyzorzzttmuGgKNMxqunDA/XeXfT -m sha-256 -S hQTH3GRWlWzhK4U
sha-256;tj3Bnnrl19e9QBz;1000;ggrtgovqUk5oit6iIH0msx0nM1LXKzsIwMGRNqurmoYrWn6yMQxLDc8R5Q1E3PNGvsDX5XbAH;$5$rounds=1000$tj3Bnnrl19e9QBz$OsoU0Z8nhKfFsZWnqOg7wAgSke65s4gstj4lIBJ7Eo4;mkpasswd ggrtgovqUk5oit6iIH0msx0nM1LXKzsIwMGRNqurmoYrWn6yMQxLDc8R5Q1E3PNGvsDX5XbAH -m sha-256 -S tj3Bnnrl19e9QBz -R 1000
sha-256;iAj5orH7laznzxw;5000;OeV7i1+plGpUaJaKQyI3GKcY7VW1/K12VbaCMbYW6CKDN5MjDzTi/UUiLYFb8UEveNEir3Xem;$5$rounds=5000$iAj5orH7laznzxw$g0IgtlfHWNoYceq0T.eVVS/2jiU5SASgquZx7N7KrW4;mkpasswd OeV7i1+plGpUaJaKQyI3GKcY7VW1/K12VbaCMbYW6CKDN5MjDzTi/UUiLYFb8UEveNEir3Xem -m sha-256 -S iAj5orH7laznzxw -R 5000
sha-256;yb3KvtE.ALvnHxT;6666;uWvAICvY9LvhqQXmF2C1Ih4ST3iCOvlcpc5KUSam87hYTGjUqOLL1AhRKGGuO/oXowkwwGetR;$5$rounds=6666$yb3KvtE.ALvnHxT$IQ27C81c.72m8QeqV2nTfpMT07sbTOv6cle4Zj6h8RA;mkpasswd uWvAICvY9LvhqQXmF2C1Ih4ST3iCOvlcpc5KUSam87hYTGjUqOLL1AhRKGGuO/oXowkwwGetR -m sha-256 -S yb3KvtE.ALvnHxT -R 6666
sha-256;xFpgBUeiKK123aU;99999;54r3bDFYLnNajvM5BFd25NGGRsYg6Wcd/tkSjFtqmLXRygcylqiuB0aGqpdE65Cgk3qbMaiG+;$5$rounds=99999$xFpgBUeiKK123aU$HapXle2h2jvayhVozLzk5VmYDEI8TEu7wXVZU8hStT1;mkpasswd 54r3bDFYLnNajvM5BFd25NGGRsYg6Wcd/tkSjFtqmLXRygcylqiuB0aGqpdE65Cgk3qbMaiG+ -m sha-256 -S xFpgBUeiKK123aU -R 99999
sha-256;neSFcrcDYL99NuoQ;;biQsGgjQlGybl+twAdI/819V9EtnAJI1riC/voaEpX/ZBp80NhDEHNXlYjzdoMUgXfhiIHgBZ;$5$neSFcrcDYL99NuoQ$D1oChmE7w.6gVpMbvIQz4RSur9s9q3cqwi4idiuE766;mkpasswd biQsGgjQlGybl+twAdI/819V9EtnAJI1riC/voaEpX/ZBp80NhDEHNXlYjzdoMUgXfhiIHgBZ -m sha-256 -S neSFcrcDYL99NuoQ
sha-256;u7gpaz1BLIJnlKGb;1000;tf/KN5qyO0vn6TRisXS+Qmr9XJ6AZdhD2fysPuxnhtPzB728sDKdOfKdHK7RvrXOor40tbYOK;$5$rounds=1000$u7gpaz1BLIJnlKGb$uCFMn8ss8p1tsi51bB2g423o6vK/8gX5KUW6Q2pj0C7;mkpasswd tf/KN5qyO0vn6TRisXS+Qmr9XJ6AZdhD2fysPuxnhtPzB728sDKdOfKdHK7RvrXOor40tbYOK -m sha-256 -S u7gpaz1BLIJnlKGb -R 1000
sha-256;E.oeCNGRyF9Vw1Nv;5000;l+3cO6ETC6qO0kkJ7vwYTc/h0d5Ix5KryuZ4V9VEQcgkHo/UTHTx+eR4y9zjm/zZmb1Tx/Cr/;$5$rounds=5000$E.oeCNGRyF9Vw1Nv$F3Lga7kNQiEJdglWUdQ2eCn4Jjunh.GyYPRe5agixI5;mkpasswd l+3cO6ETC6qO0kkJ7vwYTc/h0d5Ix5KryuZ4V9VEQcgkHo/UTHTx+eR4y9zjm/zZmb1Tx/Cr/ -m sha-256 -S E.oeCNGRyF9Vw1Nv -R 5000
sha-256;L38AJXnO/rCbf9s8;6666;/h69WXmkbaQP6Rw5chhNE2KeEoROPYGvCfORFLZAw2h8jTiztUCA6Q7t61m8TNiKmOU2LXhVG;$5$rounds=6666$L38AJXnO/rCbf9s8$47V6L5Q1Aov6B1eXTl/8OaGIzyxgA/ALBTt/mT8R0HB;mkpasswd /h69WXmkbaQP6Rw5chhNE2KeEoROPYGvCfORFLZAw2h8jTiztUCA6Q7t61m8TNiKmOU2LXhVG -m sha-256 -S L38AJXnO/rCbf9s8 -R 6666
sha-256;LsoVx1sHbjhntc4z;99999;CfGd/doxclt0Hnh7n4Qfgf2QNWKEFyeoR2SWBValGfuZ5V1whOhi4/px6iozLSK5BOrHgc16B;$5$rounds=99999$LsoVx1sHbjhntc4z$oW8fe0wAsG/l.BZIkNPqkQMGuPL/3qzEAyQUFOPGGcB;mkpasswd CfGd/doxclt0Hnh7n4Qfgf2QNWKEFyeoR2SWBValGfuZ5V1whOhi4/px6iozLSK5BOrHgc16B -m sha-256 -S LsoVx1sHbjhntc4z -R 99999
sha-256;;;hKiY1LIfNARPdCcoqacOzxiFmFLGtJzxzsOs1+f3MH0+G59/2nrbDn9wHg2CQDOghMlzWUAj1ROBvGVyEpzjyeRe2g4A5xr/dhP6aL7c8N/Ec0oVrQXY8LqnxK5bBO3hs;$5$LsILalZ3QqOChibv$A1VauLFBbj1x9jz//nI/Eaf1fLPkqmjk1uDV3obIOo0;mkpasswd hKiY1LIfNARPdCcoqacOzxiFmFLGtJzxzsOs1+f3MH0+G59/2nrbDn9wHg2CQDOghMlzWUAj1ROBvGVyEpzjyeRe2g4A5xr/dhP6aL7c8N/Ec0oVrQXY8LqnxK5bBO3hs -m sha-256
sha-256;;999;FKWEZOrO2/X48WK0mnj3xqeZhr/FJjvOVubDeQFIB305ZA5wNKpeGaBBEuiAvV/d/xTlD9cFrNekvOyohsvKrqPm95ILjt3JIJMSIGk2x/SJZQGIZBjwX/OPl2/sGp1wb;$5$rounds=1000$Sa50QbM/QIO7vt3B$PWNsyuIDa6dFtFiFSGb07PvgpCuFk5RVJSkqWFMfUwC;mkpasswd FKWEZOrO2/X48WK0mnj3xqeZhr/FJjvOVubDeQFIB305ZA5wNKpeGaBBEuiAvV/d/xTlD9cFrNekvOyohsvKrqPm95ILjt3JIJMSIGk2x/SJZQGIZBjwX/OPl2/sGp1wb -m sha-256 -R 999
sha-256;;1000;48cWAneC7VOWkuhj+6/AB+H7KaW3xdWNBFV0qolgxtF3A2P6/Bk/+V8BNx+EnKbFHUJ2bH05N0RUIz3ny3ytT0u9IC/RzglOYYx38c3lJKWY88LzmEDPf+expJYWECPRH;$5$rounds=1000$v1WyYaC/aQAmfE2f$ANNUWEhbNt7rJI5CvwTidVm6xmVf9SY8vdVKodOi1B6;mkpasswd 48cWAneC7VOWkuhj+6/AB+H7KaW3xdWNBFV0qolgxtF3A2P6/Bk/+V8BNx+EnKbFHUJ2bH05N0RUIz3ny3ytT0u9IC/RzglOYYx38c3lJKWY88LzmEDPf+expJYWECPRH -m sha-256 -R 1000
sha-256;;5000;L68lc9Ki7JYIr1BT/esH+HRuRtWW6ig677fIgfvkHrvjpHZirLftDkHeYhATyINgpE3+n6zE71FjobNmnzwe4zUkfeUp8HdJIV7flehOHJP/aAlJF0sIcn4zVUH23vvak;$5$pmh3fdFNea0wdMmL$zHXKtTqAJvHJ.CdBKsVThBbROgz6OR/zB6wu6nZUnt8;mkpasswd L68lc9Ki7JYIr1BT/esH+HRuRtWW6ig677fIgfvkHrvjpHZirLftDkHeYhATyINgpE3+n6zE71FjobNmnzwe4zUkfeUp8HdJIV7flehOHJP/aAlJF0sIcn4zVUH23vvak -m sha-256 -R 5000
sha-256;;6666;mP72TCOcYWe2/siT4KoihfM8y/55qDlKC7ePNwR933c6Ox2XCuTSO3cg5Foa9RcMoTIiguTDyHoC3j8W3SkJIiUEFivOy4/Jd0E4kpqK/Pcuy2fTjohXg9J9Xo1B5vRgX;$5$rounds=6666$i.6zkN3LHfQwQwZj$ukHXnOyGFZdrvu2.rJWeYndipvYMzpl.H9OuGMN7iRC;mkpasswd mP72TCOcYWe2/siT4KoihfM8y/55qDlKC7ePNwR933c6Ox2XCuTSO3cg5Foa9RcMoTIiguTDyHoC3j8W3SkJIiUEFivOy4/Jd0E4kpqK/Pcuy2fTjohXg9J9Xo1B5vRgX -m sha-256 -R 6666
sha-256;;99999;QptjeQbV6hW+Q9akZDunNhpjhsOTOfIVhG+Xa1OVPZ5CzjbdgVmH28nGyJaIGme95WekPcgW43iyTLn3jGz9a3kriUR9v7u30GfdFJpK528/zZnQdiyAqdxhrhKVNoTvY;$5$rounds=99999$ZxmTya/k0ng0n7X1$MaDPZyVygQBhE24aEBhPRopHLuwwWLzKR5R9yb6A5.0;mkpasswd QptjeQbV6hW+Q9akZDunNhpjhsOTOfIVhG+Xa1OVPZ5CzjbdgVmH28nGyJaIGme95WekPcgW43iyTLn3jGz9a3kriUR9v7u30GfdFJpK528/zZnQdiyAqdxhrhKVNoTvY -m sha-256 -R 99999
sha-256;zOg4Jy6C;;BqGjhdrU86cvfXfKaHcz8t8wLPcFaEtoaLVxRGQS0qHYQV403VEOkxavcwrUEgAZMz4hhDWQntexfhnPwi87D9I0NM9Oj81Rdm4dveSiF5CUyakVwu0s8mQ20lowzROV/;$5$zOg4Jy6C$f62bPNF.tCIdskcSb6Uda5PwBBqt5HYgULkmLSH9D9D;mkpasswd BqGjhdrU86cvfXfKaHcz8t8wLPcFaEtoaLVxRGQS0qHYQV403VEOkxavcwrUEgAZMz4hhDWQntexfhnPwi87D9I0NM9Oj81Rdm4dveSiF5CUyakVwu0s8mQ20lowzROV/ -m sha-256 -S zOg4Jy6C
sha-256;rclkzgI1;1000;UnTAmoaIaqk8xsPx+1O+tUfZoYYiMwYwmh/Oh7X+B7MOLz0RtRKh84U7R4oGNH4t1N4axdbNC9upxYUmJZDOBAvb7NMl/7q/o6o2oxFszSX8O4l/il4/tnwqJMT4QZ6ne;$5$rounds=1000$rclkzgI1$sKKZPpwHmgJckUzOlAyzwBNm5Vv6SmlaeHlc2iNmbt.;mkpasswd UnTAmoaIaqk8xsPx+1O+tUfZoYYiMwYwmh/Oh7X+B7MOLz0RtRKh84U7R4oGNH4t1N4axdbNC9upxYUmJZDOBAvb7NMl/7q/o6o2oxFszSX8O4l/il4/tnwqJMT4QZ6ne -m sha-256 -S rclkzgI1 -R 1000
sha-256;ulwZFE4.;5000;iqlxOcUzRxP9Fn0SLqIJmST7vstePAYfPGwhmtjpUQFQcp6rb8ZLXrbDS73dxxHXHMcOM3nFbsaWH2hs0XrWT77g0NPoef3i3nUsoBqbfdgU0h+X6wasJJMwMoxMKo8SD;$5$rounds=5000$ulwZFE4.$uetvhy5T.8wRy6sELVacLL4qIlbAAnHvW5bcdaAKId0;mkpasswd iqlxOcUzRxP9Fn0SLqIJmST7vstePAYfPGwhmtjpUQFQcp6rb8ZLXrbDS73dxxHXHMcOM3nFbsaWH2hs0XrWT77g0NPoef3i3nUsoBqbfdgU0h+X6wasJJMwMoxMKo8SD -m sha-256 -S ulwZFE4. -R 5000
sha-256;BG4LDj0D;6666;uDrF9zJPQg8Buk5JliTDZFf109ZGEFKQ7dpuMM9QPaqvbreY5MVysYcQtC9EeR0LxQvivV2GRQccM6O5dwQRIK5p/HGh2/YcgqaeatgBNhzdaTDFyRA5ndQAEFB6rZUfW;$5$rounds=6666$BG4LDj0D$4ugut.m0Ejb6D6V3KGt6mtIciV9kIEPElDAa4DWQhYA;mkpasswd uDrF9zJPQg8Buk5JliTDZFf109ZGEFKQ7dpuMM9QPaqvbreY5MVysYcQtC9EeR0LxQvivV2GRQccM6O5dwQRIK5p/HGh2/YcgqaeatgBNhzdaTDFyRA5ndQAEFB6rZUfW -m sha-256 -S BG4LDj0D -R 6666
sha-256;uNse/L1i;99999;fOw4zgMg5xL/ZGrPbDVc/FS4RDDKSLRi0Yz/C85Cre7A7rrimmesowKprhV0Aoy2ulonVR+vjPS862h8JT97DQoFITrIHlM2xb7mr8xYfTTJwNgvWT4uer66uUrz9y/bh;$5$rounds=99999$uNse/L1i$VXelS3O.e3O1EYV882PsTPmrAZfeEUKytaYdP34wdY.;mkpasswd fOw4zgMg5xL/ZGrPbDVc/FS4RDDKSLRi0Yz/C85Cre7A7rrimmesowKprhV0Aoy2ulonVR+vjPS862h8JT97DQoFITrIHlM2xb7mr8xYfTTJwNgvWT4uer66uUrz9y/bh -m sha-256 -S uNse/L1i -R 99999
sha-256;GF879RoJ.;;k4+6Fumojzv+7vKjCrhePiXAeqOGe+G6Ky7xqQjixDJroWNNAb3OZjaDS3+FfWAtmt+Qal+sjEb1NWgdaNGXQOKzTinwe5k6Bbku6LwRON3wPs1q9pHAYasICyotSKzX/;$5$GF879RoJ.$CsJDDRbbywoyexQ8luR3ndjkn7rPBIUQ7eEowJDPFe9;mkpasswd k4+6Fumojzv+7vKjCrhePiXAeqOGe+G6Ky7xqQjixDJroWNNAb3OZjaDS3+FfWAtmt+Qal+sjEb1NWgdaNGXQOKzTinwe5k6Bbku6LwRON3wPs1q9pHAYasICyotSKzX/ -m sha-256 -S GF879RoJ.
sha-256;DQv84grHq;1000;lTo1rqBNEYpWcKI8CB+xtjVgDQKl1cC6rOCuPlrXYJIzBS3Z+6Ij2vRnRjmpiipsTUuRBms3DxsJyaxDE/gvCaTod0cu4Hh4BBvwNnqrvGfcC1FcPSDUVP9+e6wxKazqH;$5$rounds=1000$DQv84grHq$yLdb24thMAm.qFgy2DNmh9sfimaZZVS4hh7SbGuQF9B;mkpasswd lTo1rqBNEYpWcKI8CB+xtjVgDQKl1cC6rOCuPlrXYJIzBS3Z+6Ij2vRnRjmpiipsTUuRBms3DxsJyaxDE/gvCaTod0cu4Hh4BBvwNnqrvGfcC1FcPSDUVP9+e6wxKazqH -m sha-256 -S DQv84grHq -R 1000
sha-256;.sPAQqZmW;5000;Vc9uNKEKbU+UyBq0Nt4DfwqJ87J1UyC7LNryIzyFVVv+jJACBKXL+Dn8Xm/hfRZT7/pjI+CEfMYAEAvSk9uYYkjZ9wQfR1VTZhx6mZ11/TuAOrrJy7Yyx2TAAm6cN0N4r;$5$rounds=5000$.sPAQqZmW$UZEn9TWil3x./VB6p/sAO6.OS5F2FlS74SSGHzTAH.0;mkpasswd Vc9uNKEKbU+UyBq0Nt4DfwqJ87J1UyC7LNryIzyFVVv+jJACBKXL+Dn8Xm/hfRZT7/pjI+CEfMYAEAvSk9uYYkjZ9wQfR1VTZhx6mZ11/TuAOrrJy7Yyx2TAAm6cN0N4r -m sha-256 -S .sPAQqZmW -R 5000
